TEMPERATURE:21.00
TEMPERATURE:22.00
TEMPERATURE:23.00
TEMPERATURE:24.00
TEMPERATURE:25.00
TEMPERATURE:26.00
TEMPERATURE:27.00
TEMPERATURE:28.00
TEMPERATURE:29.00
TEMPERATURE:20.00
TEMPERATURE:21.00
TEMPERATURE:22.00
TEMPERATURE:23.00
TEMPERATURE:24.00
TEMPERATURE:25.00
TEMPERATURE:26.00
TEMPERATURE:27.00
TEMPERATURE:28.00
TEMPERATURE:29.00
TEMPERATURE:20.00
TEMPERATURE:21.00
TEMPERATURE:22.00
TEMPERATURE:23.00
TEMPERATURE:1.15:1:2025-06-13 17:03:33
PRESSURE:48.03:1:2025-06-13 17:03:33
TEMPERATURE:21.79:1:2025-06-13 17:03:34
PRESSURE:13.94:1:2025-06-13 17:03:34
TEMPERATURE:26.29:1:2025-06-13 17:03:35
PRESSURE:45.97:1:2025-06-13 17:03:35
TEMPERATURE:8.33:1:2025-06-13 17:03:36
PRESSURE:32.85:1:2025-06-13 17:03:36
TEMPERATURE:30.42:1:2025-06-13 17:03:37
PRESSURE:23.73:1:2025-06-13 17:03:37
TEMPERATURE:14.59:1:2025-06-13 17:03:38
PRESSURE:41.87:1:2025-06-13 17:03:38
TEMPERATURE:22.45:1:2025-06-13 17:03:39
PRESSURE:40.17:1:2025-06-13 17:03:39
TEMPERATURE:4.71:1:2025-06-13 17:03:40
PRESSURE:13.87:1:2025-06-13 17:03:40
TEMPERATURE:30.35:1:2025-06-13 17:03:41
PRESSURE:16.42:1:2025-06-13 17:03:41
TEMPERATURE:46.29:1:2025-06-13 17:03:42
PRESSURE:8.50:1:2025-06-13 17:03:42
TEMPERATURE:49.66:1:2025-06-13 17:03:43
PRESSURE:36.97:1:2025-06-13 17:03:43
TEMPERATURE:34.07:1:2025-06-13 17:03:44
PRESSURE:42.82:1:2025-06-13 17:03:44
TEMPERATURE:28.04:1:2025-06-13 17:03:45
PRESSURE:40.07:1:2025-06-13 17:03:45
TEMPERATURE:2.20:1:2025-06-13 17:03:46
PRESSURE:17.24:1:2025-06-13 17:03:46
TEMPERATURE:43.25:1:2025-06-13 17:03:47
PRESSURE:11.62:1:2025-06-13 17:03:47
TEMPERATURE:49.62:1:2025-06-13 17:03:48
PRESSURE:48.57:1:2025-06-13 17:03:48
TEMPERATURE:11.43:1:2025-06-13 17:03:49
PRESSURE:9.52:1:2025-06-13 17:03:49
TEMPERATURE:43.47:1:2025-06-13 17:03:50
PRESSURE:39.14:1:2025-06-13 17:03:50
TEMPERATURE:30.67:1:2025-06-13 17:03:51
PRESSURE:14.57:1:2025-06-13 17:03:51
TEMPERATURE:2.38:1:2025-06-13 17:03:52
PRESSURE:2.28:1:2025-06-13 17:03:52
TEMPERATURE:14.63:1:2025-06-13 17:03:53
PRESSURE:44.91:1:2025-06-13 17:03:53
TEMPERATURE:12.76:1:2025-06-13 17:03:54
PRESSURE:24.21:1:2025-06-13 17:03:54
TEMPERATURE:1.62:1:2025-06-13 17:03:55
PRESSURE:9.00:1:2025-06-13 17:03:55
TEMPERATURE:26.04:1:2025-06-13 17:03:56
PRESSURE:9.49:1:2025-06-13 17:03:56
TEMPERATURE:14.23:1:2025-06-13 17:03:57
PRESSURE:44.67:1:2025-06-13 17:03:57
TEMPERATURE:23.87:1:2025-06-13 17:03:58
PRESSURE:36.26:1:2025-06-13 17:03:58
TEMPERATURE:40.49:1:2025-06-13 17:03:59
